"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"	"inbreed"	"het2"	"F_inbreeding"	"agevals"	"ages"	"k"	"vk"
"Ho46"	47	4065	419	355	0.0348190045248869	0.3037	0.001	4250.68277791565	288.386136531948	4569.41517647395	97.9307418343786	0.00138872740181339	0.303692307692308	0	"0/1/2/3/4/5"	"3066/680/273/371/29/1"	2.57246376811594	5.25383476145139
"Ho47"	48	3994	222	179	0.0311406661873952	0.3006	0.0043	4246.55562999515	290.311629015338	4567.56396421068	51.1424106854971	-0.000327535963328351	0.300577522166307	0	"0/1/2/3/4/5/6"	"2429/1261/268/183/30/1/1"	2.35526315789474	5.00543859649123
"Ho48"	49	4407	209	181	0.0265911072362685	0.2977	0.0046	4240.96870521666	288.462404469635	4559.64272137332	67.695709010535	0.00144691876139347	0.297737576285963	0	"0/1/2/3/4"	"2364/1285/710/204/25"	2.1046511627907	3.27127222982216
"Ho49"	50	4758	496	414	0.0404582366589327	0.3027	0.0038	4244.23195212149	286.241388069409	4560.77911076912	98.4507528412037	0.00236905809010302	0.302703016241299	0	"0/1/2/3/4/5"	"3553/749/381/464/23/2"	2.74172185430464	6.72618101545254
"Ho50"	51	4583	319	259	0.0340355225113589	0.2974	0.0127	4253.41761864838	288.683071959005	4572.84607850745	76.5710648628289	0.00141476001456109	0.297418422139612	0	"0/1/2/3/4/5/6"	"2716/1482/326/267/49/1/1"	2.49038461538462	4.67951829723674
"Ho51"	52	3977	263	225	0.0170871013802951	0.2958	0.0113	4259.42374967225	289.222030930028	4578.87464846515	55.7372763831763	0.000267397365028899	0.295818657782009	0	"0/1/2/3/4/5"	"2446/953/538/227/36/2"	2.74390243902439	6.242246311352
"Ho52"	53	4617	398	339	0.034271589991929	0.3013	0.0088	4253.61476226958	288.668544858676	4571.8477829432	130.357464131834	0.00161438426691918	0.301295399515739	0	"0/1/2/3/4/5"	"3412/817/321/384/21/1"	2.29054054054054	2.98303916161059
"Ho53"	54	3970	268	213	0.0260459000717189	0.3051	-2e-04	4259.94084846431	290.172526300911	4579.48302082824	144.133140379901	0.00356652221958997	0.30508247669137	0	"0/1/2/3/4"	"2515/1139/280/202/47"	1.71774193548387	1.29366640440598
"Ho54"	55	4867	215	184	0.020560285092061	0.2986	0.0117	4254.18722101591	289.728633559912	4572.65989621242	70.8846058674479	0.00149392388145442	0.298647792516333	0	"0/1/2/3/4/5"	"2800/1379/632/218/21/1"	2.21686746987952	3.02556567734352
"Ho55"	56	4438	448	379	0.0192962424745692	0.3038	0.0034	4263.94870280987	287.909178213002	4581.0076867409	114.193864929393	0.00058985112938359	0.303763753373469	0	"0/1/2/3/4/5"	"3116/836/414/420/30/1"	2.46103896103896	4.55075969781852
"Ho56"	57	4406	336	284	0.0231663113006397	0.3033	0.0091	4266.93696132862	289.758174717708	4586.11970964573	76.7293966777613	0.00303747416654288	0.303287846481876	0	"0/1/2/3/4/5"	"2916/1146/302/282/43/1"	2.49122807017544	5.47337369973607
"Ho57"	58	4865	237	191	0.0243275316455696	0.2975	0.0123	4269.30097039897	290.459478835916	4588.7660805937	63.4623307864778	0.00253635212023906	0.29746835443038	0	"0/1/2/3/4/5"	"2758/1463/590/217/27/1"	2.3875	3.83528481012658
"Ho58"	59	4930	448	374	0.0221907993966818	0.3033	0.0053	4278.33311018011	289.334230967669	4596.73862070235	138.232887338898	-0.000109790277819655	0.303250377073907	0	"0/1/2/3/4/5"	"3349/994/516/410/34/1"	2.3375	3.1809748427673
"Ho59"	60	4167	407	351	0.0301239486498451	0.3063	0.007	4287.9398362668	291.081532541968	4608.08465246864	99.8014303017031	0.00169383617239793	0.30632802124834	0	"0/1/2/3/4/5"	"2855/958/305/353/45/2"	2.61940298507463	4.9442823476602
"Ho60"	61	4417	239	200	0.0265648689625298	0.3043	-0.0026	4285.86667406448	292.469847714974	4607.51241278297	64.1788278378173	0.00149974949902609	0.304312324019926	0	"0/1/2/3/4"	"2540/1365/454/230/28"	2.29885057471264	4.14220796578455
"Ho61"	62	4528	356	298	0.024378367177787	0.302	0.0013	4287.95359462966	291.401106867988	4608.29914770934	133.211772531053	0.00264660229265057	0.301999585578119	0	"0/1/2/3/4/5"	"3091/878/496/318/40/3"	2.06944444444444	2.40073815073815
"Ho62"	63	4301	370	296	0.0351533608875354	0.307	0.0027	4291.62319425702	292.256464066674	4612.49873898013	111.4858169206	0.00138203688013316	0.306971938220579	0	"0/1/2/3/4"	"2938/1026/287/309/37"	2.11428571428571	3.23864337101747
"Ho63"	64	4805	230	189	0.012384861834201	0.3042	-0.0057	4291.77171309408	293.234459938536	4613.41588274374	90.6262589269365	-8.22530159788615e-05	0.304211053263917	0	"0/1/2/3/4"	"2846/1422/488/204/34"	2.07692307692308	2.07179487179487
"Ho64"	65	4329	371	320	0.0236717573671757	0.3012	0	4298.94633869537	291.980165909727	4619.45948611283	98.8783815367218	0.00176984827301863	0.301150785115079	0	"0/1/2/3/4/5"	"2807/969/490/347/35/1"	2.40601503759398	4.37935748462064
